,bri,car,fra,perm,por,x,y,label_kmeans,1st,ofm,label_pca,label_ofm
2582,0.251976657,21.44391467,2.528618902,5.910999778,5.692016048,,,0,0.275793509,12.6669013,1,1
2583,0.271358476,23.25523127,2.711935366,6.854968773,5.840658372,,,0,0.31179081,13.85342841,1,1
2584,0.292733483,25.90076716,2.908221225,6.966166895,5.974267225,,,1,0.351084147,15.21136324,1,1
2585,0.317210525,28.65343472,3.188690021,8.203852179,6.06450212,,,1,0.399390347,16.95347329,1,1
2586,0.343681157,31.25310303,3.514579706,17.27244836,6.130824901,,,1,0.46247838,20.88599421,1,1
2587,0.370568788,33.74607701,3.80525353,35.14730757,6.193931451,,,1,0.535438448,27.30749443,1,0
2588,0.395441282,36.04191621,4.024987629,52.27232305,6.257891169,,,3,0.600164146,33.40927972,0,0
2589,0.412794192,38.01110345,4.160264317,59.22404253,6.328099397,,,3,0.638599404,36.40320491,0,0
2590,0.42428113,39.51053659,4.257428708,61.78088563,6.40471874,,,3,0.663080332,37.89223027,0,0
2591,0.431837339,40.46663441,4.33516987,60.68093094,6.489103942,,,3,0.676971218,38.05509551,0,0
2592,0.436779546,41.09596702,4.397972419,52.90509379,6.57465329,,,3,0.677537032,36.12654827,0,0
2593,0.440731547,41.57413849,4.439809022,53.85073693,6.667024733,,,3,0.688248326,36.64183491,0,0
2594,0.442451908,42.00926122,4.474925172,54.55683655,6.760241755,,,3,0.696725262,37.0659291,0,0
2595,0.444202916,42.41205512,4.494353614,54.94399998,6.853747909,,,3,0.703467805,37.38068895,0,0
2596,0.445703469,42.69925466,4.514541737,54.79056711,6.940680114,,,3,0.708792115,37.48212565,0,0
2597,0.446276557,43.10552641,4.525190674,54.79100939,7.038264732,,,3,0.713761567,37.68614184,0,0
2598,0.449628892,43.62546372,4.536486312,53.16415527,7.139832325,,,3,0.718469307,37.47646896,0,0
2599,0.452324839,44.24114844,4.541361455,45.91621196,7.245996909,,,3,0.714621255,35.68940003,0,0
2600,0.453314864,44.93654159,4.542253899,35.90558942,7.352471063,,,1,0.705785888,33.14288523,0,0
2601,0.453759312,45.75994167,4.541093176,26.12048244,7.448836657,,,1,0.696983029,30.72411724,0,0
2602,0.453852151,46.67775277,4.536783919,18.52119645,7.521071082,,,1,0.690606894,28.98248033,0,0
2603,0.457385231,47.5999461,4.529424877,13.04489691,7.561118554,,,1,0.68820334,27.85564507,0,0
2604,0.455993136,48.51955012,4.51426891,9.602296057,7.579419387,,,1,0.684817083,27.31336654,0,0
